name,category,us,uk,jpn,aus,us_ngo,uk_ngo,aus_ngo,jpn_ngo,wwf,eng_news,jpn_news,us_cute,uk_cute,aus_cute,jpn_cute
klipspringer,1,0,0,0,0,0,0,0,0,0,0.02892562,0,0,0,0,0
koala,3,0,0,0,1,0,0,16,0,0,3.052377816,0.424810816,0,0,4,0
kob,1,0,0,0,0,0,0,0,0,0,0.074921443,0,0,0,0,0
kouprey,5,0,0,0,0,0,0,0,0,0,0.048515568,0,0,0,0,0
kudu,2,0,0,0,0,0,0,0,0,1,0.629951285,0,0,0,0,0
langur,3.407407407,0,0,0,0,1,0,0,0,2,0.948099022,0.027545914,0,0,0,0
lechwe,2.5,0,0,0,0,0,0,0,0,0,0.163512911,0,0,0,0,0
lemur,3.738636364,0,0,0,0,0,0,0,0,11,2.405002158,0.264057158,0,0,0,0
leopard,3.25,0,0,0,0,0,3,2,0,69,6.999616602,0.458707297,0,0,0,0
linsang,1,0,0,0,0,0,0,0,0,0,0.054373522,0,0,0,0,0
lion,2,0,0,0,0,1,3,1,0,17,17.27629012,1.097883282,2,1,2,3
loris,2.666666667,0,0,0,0,0,0,0,0,0,0.413861666,0.060186318,0,0,0,0
lynx,2,1,0,0,0,0,0,0,0,18,2.118620899,0.043219312,0,0,0,0
macaque,3.05,0,0,1,0,0,0,0,0,3,0.84929013,0,0,0,0,0
manatee,3,1,0,0,0,0,0,0,0,4,1.681265744,0.072545254,0,0,0,0
mandrill,3,0,0,0,0,0,0,0,0,0,0,0.027013039,0,0,0,0
mangabey,2.625,0,0,0,0,0,0,0,0,0,0.074676866,0.011099106,0,0,0,0
marmoset,1.923076923,0,0,0,0,0,0,0,0,0,0.526677969,0.018544132,0,0,0,0
marmot,2,1,0,0,0,0,0,0,0,2,0.185065956,0.005909389,0,0,0,0
marten,1.4,1,1,1,0,0,0,0,0,1,0.508484809,0.884815453,0,0,0,0
maxomy,2.5,0,0,0,0,0,0,0,0,0,0,0.242768161,0,0,0,0
melomy,3.714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mink,1,1,0,0,0,0,0,0,0,0,1.074130487,0.083209505,0,0,0,0
mole,2.310344828,0,0,1,1,0,0,0,0,0,0.975770562,0.313647675,0,0,0,0
mongoose,1.6,0,0,0,0,0,0,0,0,2,0.790618256,0.610088354,0,0,0,0
